CID,Name,B3LYPLUMO,SMILES,Minimum Adsorption energy (100),Minimum Adsorption energy (110),Minimum Adsorption energy (111),Optimization score,e_above_hull (eV)
11401854,H4C8N1O1F5,-1.678599199,C1=CC(=C(C(=C1N)C(=O)C(F)(F)F)F)F,-2.698584131,-3.245592975,-2.652508126,-2.272080471,
573138,C3Cl2F2,0.215067668,C1(=C(C1(F)F)Cl)Cl,-4.611378607,-3.873439583,-5.788947763,-2.271427158,
15707529,H5C10N1Cl2O1,-2.154784632,C1=CC2=C(C=C(C(=N2)Cl)C=O)C(=C1)Cl,-2.499431394,-2.885255892,-1.763755197,-2.268799397,
145610,P1H2C1Cl3,-0.90710519,C(P)(Cl)(Cl)Cl,-3.413588096,-2.828263507,-4.636946019,-2.266685532,
12790031,C6F8,-1.198722594,C1(=C(F)F)C(=C(F)F)C(C1(F)F)(F)F,-3.23778386,-3.222858827,-3.527608268,-2.26406979,
10944046,H2C7S1N2F4,0.281512809,C12=C(C(=C(C(=C1F)F)F)F)NC(=S)N2,-5.532634301,-5.737208489,-3.156082239,-2.263564434,
4650,H4C6O2,-3.413537587,C1=CC(=O)C=CC1=O,-1.306401279,-0.899692806,-1.132700217,-2.263234511,
11116344,H1C4Br1O2,-2.08464832,C1=C(C(=O)C1=O)Br,-2.383225596,-1.724923448,-3.177210755,-2.256550793,
12909411,H2C5Cl1F5,0.192919287,C1C(=C(C(C1(F)F)(F)F)F)Cl,-5.192800781,-4.979880454,-3.932943527,-2.254477817,
21731928,H3C6F7,-0.043327844,CC1=C(C(C(C1(F)F)(F)F)(F)F)F,-4.982537638,-4.365186694,-4.038375232,-2.252680516,
57015794,C4F6,0.126475502,C(=C(F)F)(C(=[14C](F)F)F)F,-4.989173489,-4.476110138,-4.426802018,-2.252109856,
12262866,H6C9N2O2,-2.738019441,C1=CC=C2C(=C1)NC(=N2)C(=O)C=O,-1.932448409,-1.709656914,-1.642939996,-2.249850607,
18184774,H2C2N2O2,-0.7373032,C1=CON=[N+]1[O-],-4.001587024,-3.017605541,-4.243032659,-2.245689137,
2778517,C3Br1F5,0.052648019,C(=C(\F)/Br)(\C(F)(F)F)/F,-4.331932308,-4.035693626,-5.207857635,-2.236256585,
19215,H2C3Cl6,-0.9255624,C(C(Cl)(Cl)Cl)C(Cl)(Cl)Cl,-3.50915425,-3.114383457,-4.014417279,-2.235773697,
11995307,H2C5N2Cl4,-0.305413171,C1(=C([14C](=N[14C](=C1Cl)Cl)Cl)Cl)N,-4.583766613,-4.084837114,-3.792683584,-2.229587804,
11241192,H6C14O2,-2.719562232,C1=CC2=CC=C3C4=C(C=CC1=C24)C(=O)C3=O,-1.845550352,-1.78589087,-1.586382126,-2.229418341,
11843204,H6C4O4,-0.238969385,CC1(OO1)C2(OO2)C,-4.155716798,-3.800530392,-4.649766881,-2.220487038,
17776700,H1C6F3,-0.32387038,C1=C2C1=C(C(=C2F)F)F,-4.426510682,-3.286276791,-4.630037333,-2.219072658,
5365263,H13C6S1N2F5,-0.013795766,CCN(CC)/C(=N/S(F)(F)(F)(F)F)/C,-4.265632891,-4.382328771,-4.619620301,-2.218161544,
6403196,H2C4N3Cl3,-0.92925357,C1(=C(C(=NN=C1Cl)Cl)Cl)N,-3.521979703,-3.196749939,-3.768050577,-2.212423488,
182782,H2C2Br1Cl3,-0.615487785,C(C(Cl)(Cl)Cl)Br,-4.01489491,-3.424249979,-3.958682333,-2.207381763,
24499,H2S1N1Cl1O2,-1.601080545,NS(=O)(=O)Cl,-2.700378778,-2.034148337,-3.683404716,-2.203528911,
69728265,H12C11O4,-3.27695749,CC1(COC1)COC2=CC(=O)C=CC2=O,-1.154953223,-1.044573414,-1.183798515,-2.20236627,
21731219,C7N1F7,-1.530944233,C1(=C(C(=NC(=C1F)F)F)F)C(=C(F)F)F,-3.454275202,-2.986994738,-2.176468461,-2.20176185,
19912796,H6C4O7,-0.884956809,C(C(=O)O)OOOCC(=O)O,-3.20802022,-2.522442972,-4.786483117,-2.195302789,
21111681,H4C3N1F3,0.971795637,C=C(CN(F)F)F,-5.25681468,-4.936530778,-5.884811074,-2.193794937,
136385,H6C3N2O4,-2.069883637,CC(C)([N+](=O)[O-])[N+](=O)[O-],-2.498215665,-1.921053214,-2.530439898,-2.193226615,
106935,H8C5Cl2O1,-1.128586282,CC(C(=O)C(C)Cl)Cl,-3.499261983,-2.847590217,-3.361950904,-2.182426992,
845655,H6C8S2N2,-2.077265979,C1=CSC=C1/C=C(\C#N)/C(=S)N,-2.366954673,-2.56781379,-1.920524364,-2.181181794,
10036315,H6C5N4O6,-2.800772056,CC1=NO[N+](=C1C(C)([N+](=O)[O-])[N+](=O)[O-])[O-],-0.873640513,-0.774014284,-3.023532688,-2.178917275,
5257192,H4C6N2O2,-0.286957317,C1=CON=C1C2=NOC=C2,-4.699565966,-3.625613987,-3.860799003,-2.174475151,
