CID,Name,B3LYPLUMO,SMILES,Minimum Adsorption energy (100),Minimum Adsorption energy (110),Minimum Adsorption energy (111),Optimization score,dissociated
12701524,C5F8,-1.012265221,C12(C(C1(F)F)(F)F)C(C2(F)F)(F)F,-9.472254825,-7.65633073,-5.565254522,-3.276174069,TRUE
22163201,H1C4N1F8,-0.499470954,C1(C(C(NC1(F)F)(F)F)(F)F)(F)F,-7.098203133,-6.302994337,-7.617693245,-3.253412975,TRUE
22483451,H6C5O2F6,0.840158162,CC(C(C(C(O)O)(F)F)(F)F)(F)F,-6.323485548,-5.709228794,-4.948720446,-3.250318212,TRUE
11469419,H2C4O1F6,0.446616983,C1C(O1)(C(F)(F)F)C(F)(F)F,-6.174139814,-5.78056383,-6.072009356,-3.227760658,TRUE
71319447,H2C2N1O1F3,-0.63462533,C1N(O1)C(F)(F)F,-7.278544721,-6.114676906,-7.709623023,-3.19982811,TRUE
62947884,H6C5N1F7,1.174072067,C(CN)C(C(C(F)(F)F)(F)F)(F)F,-5.477449865,-5.494206542,-4.668761126,-3.193772289,TRUE
147088,H2C3N1F7,1.197923269,C(C(N)(F)F)(C(F)(F)F)(F)F,-5.261519118,-4.845494395,-5.336788387,-3.172928618,TRUE
12168367,H6C8,3.535316221,C12C3C1C23C45C6C4C56,-2.261549449,-2.648969746,-3.491888781,-3.16805944,TRUE
22660331,H5C5O1F5,1.57556316,C1C(O1)CC(C(F)(F)F)(F)F,-5.073840598,-5.313517275,-3.724255955,-3.139717218,TRUE
67724,C4F10,-0.471644795,C(C(F)(F)F)(C(F)(F)F)(C(F)(F)F)F,-6.703523662,-7.416927844,-6.104570283,-3.135014567,TRUE
16924,H1C4O1F9,0.184256683,C(C(F)(F)F)(C(F)(F)F)(C(F)(F)F)O,-6.551713863,-5.611346382,-6.07575183,-3.131930354,TRUE
299569,H8C6O2F6,0.899785436,CC(C(C)(C(F)(F)F)O)(C(F)(F)F)O,-5.881611759,-5.886540077,-4.019353374,-3.081143586,TRUE
19751163,H6C6F6,-0.833383398,CC1(C(C(C1(F)F)(C)F)(F)F)F,-7.182030098,-6.721557025,-7.067612615,-3.078508257,TRUE
22967413,H4C5F8,0.430717155,CC(C(C(F)(F)F)(C(F)(F)F)F)F,-5.930463957,-5.842938668,-5.270678352,-3.056038741,TRUE
18737303,H2C4O1F6,0.375064838,C1C(C(OC1(F)F)(F)F)(F)F,-5.808983611,-5.865903965,-5.478298941,-3.046396838,TRUE
53670748,H4C5O1F6,0.156430525,C1C(C(C(O1)(F)F)(CF)F)(F)F,-6.060311722,-5.520978007,-6.036404164,-3.014497578,TRUE
2759276,H1C2O1F5,0.701027368,C(C(F)(F)F)(O)(F)F,-5.882609738,-4.596105004,-5.466026394,-3.00797054,TRUE
21652721,H4C4O1F6,0.585747776,CC(C(C(O)(F)F)(F)F)(F)F,-5.376471968,-5.334243355,-5.529901632,-2.999643381,TRUE
19105654,H8C6F6,1.082643677,CCC(C)(C(C(F)(F)F)(F)F)F,-6.221600693,-4.101248181,-4.24418654,-2.969161074,TRUE
21882012,C3O3F6,3.225253518,C1(OC(OC(O1)(F)F)(F)F)(F)F,-3.236129348,-2.35083408,-2.532348011,-2.965845332,TRUE
22960075,H5C4O1F5,1.102518461,COC(CF)(C(F)(F)F)F,-5.348931655,-4.148431669,-4.987894655,-2.965468894,TRUE
23236258,H3C4F7,0.025251105,C(C(C(F)F)(C(F)(F)F)F)F,-4.541654607,-6.342890375,-6.735728217,-2.949337752,TRUE
62948219,H6C4N1O1F5,0.875934234,C(C(C(C(F)(F)F)(F)F)O)N,-6.260596632,-4.182303149,-4.553431247,-2.937355622,TRUE
19022260,H7C5O1F5,0.999165201,CC(C)(C(C(F)(F)F)(F)F)O,-4.959654923,-4.188704242,-5.450741996,-2.932766127,TRUE
21872014,H9C7F5,0.247860375,CC1(C(C(C1(F)F)(F)F)(C)F)C,-6.71704026,-5.48339116,-4.639389011,-2.930566926,TRUE
13550690,C3F4,-0.893010672,C1(=C(C1(F)F)F)F,-7.316289123,-5.894643907,-7.025751569,-2.92627543,TRUE
9793787,H2C2N1F5,1.690842752,C(C(F)(F)F)(N)(F)F,-4.305689518,-3.230229665,-4.875370756,-2.913969699,TRUE
12616102,H4C5F6,2.128109917,C1CC1(C(F)(F)F)C(F)(F)F,-4.364339462,-3.170160686,-3.529776076,-2.908100996,TRUE
14144886,H4C5O1F6,0.406865953,C1COC1(C(F)(F)F)C(F)(F)F,-6.454770141,-5.190946836,-4.534067097,-2.900063656,TRUE
550292,H3C4N1F6,1.233699341,C1C(N1)(C(F)(F)F)C(F)(F)F,-4.759714592,-5.048873222,-3.847662114,-2.892891325,TRUE
73654284,H2C4O1F6,-0.98841548,C(C(C(=C(O)F)F)(F)F)(F)F,-6.978647227,-6.125009956,-7.179554818,-2.886327594,TRUE
64809164,H13C7N1O2F4,1.245624212,C(COCC(C(F)F)(F)F)C(CO)N,-4.485624764,-4.022605702,-5.055511492,-2.883435765,TRUE
69048191,C3O2F4,-0.380214944,C1(=C(F)F)OC(O1)(F)F,-7.208273363,-5.989530701,-5.141875741,-2.866505829,TRUE
22283745,C4O2F6,-0.165557049,C1(=C(F)F)OC(C(O1)(F)F)(F)F,-5.436428712,-6.661278953,-5.528516602,-2.85492552,TRUE
15789224,H2C3O1F4,1.94127818,C1C(OC1(F)F)(F)F,-4.305006861,-3.137352168,-3.756816882,-2.837168409,TRUE
136226,H1C4F9,1.40463125,C(C(F)(F)F)(C(F)(F)F)C(F)(F)F,-4.825997286,-3.731937423,-4.210752194,-2.830430109,TRUE
71345323,H7C7O1F7,0.864009364,C1COCC1C(C(C(F)(F)F)(F)F)(F)F,-5.196016603,-4.354173002,-4.742569865,-2.81413126,TRUE
70501114,H8C7F4,-1.020216595,CC1CCC(=C(C1(F)F)F)F,-7.808328411,-6.559457919,-5.427950749,-2.789181215,TRUE
23089516,H3C4O1F5,0.828233291,C1C(O1)C(C(F)(F)F)(F)F,-4.59781448,-5.480912028,-4.150379392,-2.785634296,TRUE
62784260,H9C6N1O1F4,1.396681337,C1C(CN1)OCC(C(F)F)(F)F,-4.729944268,-3.813585517,-3.979746398,-2.785553365,TRUE
23205151,H1C3O1F5,-0.511395824,C1(C(C1(F)F)(F)F)(O)F,-6.020577864,-6.439303301,-5.683741676,-2.768239228,TRUE
62327245,H11C7N1O1F4,1.428482452,C1CNCC1OCC(C(F)F)(F)F,-3.832982412,-3.363229787,-5.090104849,-2.761960734,TRUE
3602065,H2C3O2F6,0.148480611,C(C(O)(F)F)(C(F)(F)F)(O)F,-4.89359328,-4.907722618,-6.233748717,-2.746751075,TRUE
18520898,H2C4F6,0.021276149,C1C(C1(F)F)(C(F)(F)F)F,-6.520084113,-5.307336105,-4.374264676,-2.71091889,TRUE
